# wifi_truth_trace version=2 packets=10923 capturedEvents=32768 overwritten=41320 localSenderId=516521152 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=261091511959408 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=12918 (diagnostic omissions are not packet drops)
516521152,6927,out,4,8ace6805,stun|tunnel|stableKnown,91,1177,51440,0.000,-1,-1,68,189,-1,-1,-1,-1,-1,-1,-1,0,261091511890869,261091511959408,261091511854792,261091511890869,261091511959408,0,0,0,0,send_only
267720340,6862,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,96,51440,1177,36.768,-1,-1,-1,-1,-1,-1,-1,892,100,415,516,0,0,0,81662497194482,81662497245328,81662497352020,1789754856235047932,261091548727100,261091548828023,261091549243177,rx_written
516521152,6928,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,38.714,38713,61,135,-1,-1,-1,-1,-1,-1,-1,-1,261091550475792,261091550537254,261091550672946,261091550475792,261091550537254,261091550672946,0,0,0,0,sent_no_rx
267720340,6863,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,71.522,36737,-1,-1,-1,-1,-1,35330,315,89,420,509,0,0,0,81662533953636,81662533997867,81662534089943,1789754856270378778,261091583481023,261091583570254,261091583990869,rx_written
516521152,6929,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,75.426,36712,50,124,158,-1,-1,-1,-1,-1,-1,-1,261091587209869,261091587260408,261091587385331,261091587209869,261091587260408,261091587385331,0,0,0,0,sent_no_rx
267720340,6864,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,106.933,35541,-1,-1,-1,-1,-1,35411,315,81,1015,1096,0,0,0,81662569364328,81662569418867,81662569631790,1789754856305790393,261091618892100,261091618973869,261091619988946,rx_written
516521152,6930,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,111.935,36509,48,122,187,-1,-1,-1,-1,-1,-1,-1,261091623724639,261091623772715,261091623894792,261091623724639,261091623772715,261091623894792,0,0,0,0,sent_no_rx
267720340,6865,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,143.495,36960,-1,-1,-1,-1,-1,36651,225,61,267,329,0,0,0,81662606441559,81662606465943,81662606592328,1789754856342441855,261091655454177,261091655515792,261091655783485,rx_written
516521152,6931,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,147.999,36064,33,58,-1,-1,-1,-1,-1,-1,-1,-1,261091659867485,261091659900715,261091659958869,261091659867485,261091659900715,261091659958869,0,0,0,0,sent_no_rx
267720340,6866,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,182.001,38038,-1,-1,-1,-1,-1,38380,352,50,288,339,0,0,0,81662644501559,81662644540405,81662644631174,1789754856380822162,261091693960100,261091694010869,261091694299485,rx_written
516521152,6932,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,188.458,40458,29,565,104,-1,-1,-1,-1,-1,-1,-1,261091699821254,261091699851177,261091700416946,261091699821254,261091699851177,261091700416946,0,0,0,0,sent_no_rx
267720340,6867,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,217.954,36644,-1,-1,-1,-1,-1,36142,162,31,205,236,0,0,0,81662681172713,81662681205943,81662681275482,1789754856416964932,261091729913023,261091729944100,261091730149562,rx_written
516521152,6933,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,96,1177,51440,222.803,34345,49,76,-1,-1,-1,-1,-1,-1,-1,-1,261091734636023,261091734685869,261091734762177,261091734636023,261091734685869,261091734762177,0,0,0,0,sent_no_rx
267720340,6868,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,256.154,37761,-1,-1,-1,-1,-1,37992,369,83,600,683,0,0,0,81662718899174,81662718935482,81662719036713,1789754856454957855,261091768113869,261091768197023,261091768797254,rx_written
516521152,6934,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,259.619,36816,52,111,-1,-1,-1,-1,-1,-1,-1,-1,261091771413946,261091771466485,261091771578177,261091771413946,261091771466485,261091771578177,0,0,0,0,sent_no_rx
267720340,6869,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,291.233,35376,-1,-1,-1,-1,-1,35266,182,47,158,206,0,0,0,81662754312636,81662754336020,81662754413251,1789754856490224239,261091803192408,261091803239792,261091803398562,rx_written
516521152,6935,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,296.156,36536,93,131,190,-1,-1,-1,-1,-1,-1,-1,261091807890254,261091807983792,261091808115100,261091807890254,261091807983792,261091808115100,0,0,0,0,sent_no_rx
267720340,6870,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,330.419,38637,-1,-1,-1,-1,-1,39000,366,93,344,438,0,0,0,81662792188097,81662792232943,81662793051097,1789754856529225162,261091842378254,261091842472023,261091842816715,rx_written
516521152,6936,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,332.859,36703,49,141,161,-1,-1,-1,-1,-1,-1,-1,261091844627792,261091844677023,261091844818562,261091844627792,261091844677023,261091844818562,0,0,0,0,sent_no_rx
267720340,6871,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,365.955,35530,-1,-1,-1,-1,-1,35701,201,44,196,241,0,0,0,81662828444328,81662828471482,81662828581636,1789754856564927085,261091877914792,261091877959177,261091878155792,rx_written
516521152,6937,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,370.675,37815,91,613,243,-1,-1,-1,-1,-1,-1,-1,261091881929639,261091882021254,261091882634254,261091881929639,261091882021254,261091882634254,0,0,0,0,sent_no_rx
267720340,6872,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,405.017,38846,-1,-1,-1,-1,-1,38836,427,58,337,396,0,0,0,81662867237943,81662867299482,81662867428405,1789754856603763624,261091916976715,261091917035100,261091917372715,rx_written
516521152,6938,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,408.971,38296,53,211,202,-1,-1,-1,-1,-1,-1,-1,261091920666177,261091920719177,261091920930562,261091920666177,261091920719177,261091920930562,0,0,0,0,sent_no_rx
267720340,6873,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,441.179,35786,-1,-1,-1,-1,-1,35996,592,78,414,493,0,0,0,81662903097636,81662903153251,81662903215174,1789754856639759701,261091953138562,261091953216946,261091953631715,rx_written
516521152,6939,out,4,8ace6805,stun|peerFab|tunnel|stableKnown,91,1177,51440,445.990,37018,60,134,-1,-1,-1,-1,-1,-1,-1,-1,261091957754869,261091957815177,261091957949254,261091957754869,261091957815177,261091957949254,0,0,0,0,sent_no_rx
267720340,6874,in,4,6eacb05d,stun|tunnel|fromPeer|inject|stableKnown,91,51440,1177,477.044,36338,-1,-1,-1,-1,-1,36001,455,94,410,504,0,0,0,81662939468943,81662939490559,81662939553636,1789754856675761470,261091989003177,261091989097331,261091989508100,rx_written
