# wifi_truth_trace version=2 packets=10922 capturedEvents=32768 overwritten=66322 localSenderId=73062732 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=69197936866354 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=16729 (diagnostic omissions are not packet drops)
342834580,11139,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,117,46005,9814,0.000,-1,-1,-1,-1,-1,-1,-1,366,1914,371,2285,0,0,0,8739976618366,8739976658135,8739976727366,1789344388912445886,69197936866354,69197938780508,69197939151893,rx_written
342834580,11140,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,127,46005,9814,2.004,36122,-1,-1,-1,-1,-1,42,2327,27,555,583,0,0,0,8740012739904,8740012773520,8740012850058,1789344388912488040,69197938870047,69197938897662,69197939453047,rx_written
342834580,11141,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,125,46005,9814,2.050,36858,-1,-1,-1,-1,-1,20,2353,15,755,771,0,0,0,8740049610058,8740049642366,8740049708597,1789344388912508270,69197938916200,69197938931893,69197939687508,rx_written
342834580,11142,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,129,46005,9814,2.080,38787,-1,-1,-1,-1,-1,16,2367,15,789,804,0,0,0,8740088391674,8740088426674,8740088495981,1789344388912524578,69197938946047,69197938961431,69197939750662,rx_written
342834580,11143,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,140,46005,9814,2.110,35822,-1,-1,-1,-1,-1,15,2382,16,813,829,0,0,0,8740124228597,8740124261212,8740124318058,1789344388912540040,69197938976739,69197938993354,69197939806354,rx_written
342834580,11144,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,161,46005,9814,20.045,37253,-1,-1,-1,-1,-1,20136,179,47,507,554,0,0,0,8740161496289,8740161519597,8740161571981,1789344388932676578,69197956910893,69197956958354,69197957465431,rx_written
73062732,11107,out,4,46d57328,stun|peerFab|tunnel|stableKnown,100,9814,46005,32.061,-1,42,101,-1,-1,-1,-1,-1,-1,-1,-1,69197968783277,69197968825739,69197968927508,69197968783277,69197968825739,69197968927508,0,0,0,0,sent_no_rx
342834580,11145,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,100,46005,9814,56.876,36677,-1,-1,-1,-1,-1,36774,236,48,346,395,0,0,0,8740198145828,8740198184904,8740198249751,1789344388969451347,69197993742662,69197993791585,69197994138354,rx_written
73062732,11108,out,4,46d57328,stun|peerFab|tunnel|stableKnown,103,9814,46005,71.259,39197,73,2981,166,-1,-1,-1,-1,-1,-1,-1,69198005070970,69198005144431,69198008125431,69198005070970,69198005144431,69198008125431,0,0,0,0,sent_no_rx
342834580,11146,in,4,340773e4,stun|tunnel|fromPeer|inject|stableKnown,100,46005,9814,93.214,36554,-1,-1,-1,-1,-1,36381,193,45,231,276,0,0,0,8740234699904,8740234740520,8740234804520,1789344389005832886,69198030080508,69198030126047,69198030357124,rx_written
