# wifi_truth_trace version=2 packets=10923 capturedEvents=32768 overwritten=48208 localSenderId=1784906404 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=29479932444371 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=14883 (diagnostic omissions are not packet drops)
1784906404,7935,out,4,d62a544e,stun|tunnel|stableKnown,91,32856,28323,0.000,-1,-1,3423,211,-1,-1,-1,-1,-1,-1,-1,0,29479929020679,29479932444371,29479928985064,29479929020679,29479932444371,0,0,0,0,send_only
1372080865,8136,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,96,28323,32856,11.631,-1,-1,-1,-1,-1,-1,-1,809,48,374,423,0,0,0,320740053334040,320740053366425,320740053449732,1789840596911639273,29479944075140,29479944123833,29479944498525,rx_written
1784906404,7936,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,38.850,38849,77,153,-1,-1,-1,-1,-1,-1,-1,-1,29479971062294,29479971140140,29479971293987,29479971062294,29479971140140,29479971293987,0,0,0,0,sent_no_rx
1372080865,8137,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,46.182,36708,-1,-1,-1,-1,-1,35190,170,35,214,250,0,0,0,320740089888502,320740089929117,320740090157732,1789840596946829811,29479978626294,29479978662217,29479978876679,rx_written
1784906404,7937,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,96,32856,28323,71.011,32161,54,117,171,-1,-1,-1,-1,-1,-1,-1,29480003283525,29480003338217,29480003455756,29480003283525,29480003338217,29480003455756,0,0,0,0,sent_no_rx
1372080865,8138,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,87.060,38411,-1,-1,-1,-1,-1,40878,170,41,410,451,0,0,0,320740127830348,320740127875886,320740128568886,1789840596987708196,29480019504679,29480019546217,29480019956371,rx_written
1784906404,7938,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,108.751,37739,41,111,-1,-1,-1,-1,-1,-1,-1,-1,29480041041987,29480041083833,29480041195217,29480041041987,29480041083833,29480041195217,0,0,0,0,sent_no_rx
1372080865,8139,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,119.664,35214,-1,-1,-1,-1,-1,32484,288,48,283,332,0,0,0,320740163670348,320740163704809,320740163783040,1789840597020192273,29480052108064,29480052156371,29480052440064,rx_written
1784906404,7939,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,147.923,39172,56,149,293,-1,-1,-1,-1,-1,-1,-1,29480080161602,29480080218217,29480080367448,29480080161602,29480080218217,29480080367448,0,0,0,0,sent_no_rx
1372080865,8140,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,158.554,38364,-1,-1,-1,-1,-1,38886,293,59,411,471,0,0,0,320740201907348,320740201952809,320740202147886,1789840597059078734,29480090998294,29480091057602,29480091469371,rx_written
1784906404,7940,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,180.523,32600,37,104,160,-1,-1,-1,-1,-1,-1,-1,29480112825679,29480112862910,29480112967756,29480112825679,29480112862910,29480112967756,0,0,0,0,sent_no_rx
1372080865,8141,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,194.910,36621,-1,-1,-1,-1,-1,36420,228,48,1097,1146,0,0,0,320740238550963,320740238595578,320740238769194,1789840597095498965,29480127353987,29480127402910,29480128500371,rx_written
1784906404,7941,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,221.574,41050,55,106,-1,-1,-1,-1,-1,-1,-1,-1,29480153856987,29480153912140,29480154018217,29480153856987,29480153912140,29480154018217,0,0,0,0,sent_no_rx
1372080865,8142,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,231.957,37306,-1,-1,-1,-1,-1,37036,238,185,914,1099,0,0,0,320740275940579,320740275979579,320740276075348,1789840597132535888,29480164401371,29480164586910,29480165501064,rx_written
1784906404,7942,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,256.502,34928,51,768,-1,-1,-1,-1,-1,-1,-1,-1,29480188125910,29480188177371,29480188946294,29480188125910,29480188177371,29480188946294,0,0,0,0,sent_no_rx
1372080865,8143,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,269.478,35700,-1,-1,-1,-1,-1,37310,448,97,538,636,0,0,0,320740311680886,320740311711348,320740311776194,1789840597169846734,29480201922294,29480202020064,29480202558602,rx_written
1784906404,7943,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,296.448,39945,59,117,-1,-1,-1,-1,-1,-1,-1,-1,29480228714910,29480228774833,29480228892064,29480228714910,29480228774833,29480228892064,0,0,0,0,sent_no_rx
1372080865,8144,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,306.108,37954,-1,-1,-1,-1,-1,36900,179,36,1254,1290,0,0,0,320740349626655,320740349663271,320740349730425,1789840597206747657,29480238552679,29480238589294,29480239843525,rx_written
1784906404,7944,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,333.348,36900,42,99,148,-1,-1,-1,-1,-1,-1,-1,29480265650294,29480265692756,29480265792679,29480265650294,29480265692756,29480265792679,0,0,0,0,sent_no_rx
1372080865,8145,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,342.095,36447,-1,-1,-1,-1,-1,35931,233,52,6737,6790,0,0,0,320740386065809,320740386113117,320740386178348,1789840597242678965,29480274539448,29480274592140,29480281329987,rx_written
1784906404,7945,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,369.545,36196,36,114,127,-1,-1,-1,-1,-1,-1,-1,29480301838217,29480301874833,29480301989602,29480301838217,29480301874833,29480301989602,0,0,0,0,sent_no_rx
1372080865,8146,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,379.853,36895,-1,-1,-1,-1,-1,36964,1027,50,1969,2020,0,0,0,320740422979886,320740423011271,320740423073809,1789840597279643273,29480312297294,29480312348140,29480314317602,rx_written
1784906404,7946,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,407.656,38111,55,240,-1,-1,-1,-1,-1,-1,-1,-1,29480339804140,29480339859833,29480340100756,29480339804140,29480339859833,29480340100756,0,0,0,0,sent_no_rx
1372080865,8147,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,416.402,37230,-1,-1,-1,-1,-1,37312,264,54,337,392,0,0,0,320740460215348,320740460243655,320740460304579,1789840597316955657,29480348846525,29480348901064,29480349238602,rx_written
1784906404,7947,out,4,d62a544e,stun|peerFab|tunnel|stableKnown,91,32856,28323,440.748,33091,29,321,154,-1,-1,-1,-1,-1,-1,-1,29480372842217,29480372871448,29480373192448,29480372842217,29480372871448,29480373192448,0,0,0,0,sent_no_rx
1372080865,8148,in,4,6e8e8ef6,stun|tunnel|fromPeer|inject|stableKnown,91,28323,32856,453.284,36492,-1,-1,-1,-1,-1,36379,766,57,520,578,0,0,0,320740496701809,320740496733732,320740496797502,1789840597353335042,29480385728756,29480385786525,29480386307448,rx_written
