# wifi_truth_trace version=2 packets=10922 capturedEvents=32768 overwritten=72925 localSenderId=664677906 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=43159309559340 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=22260 (diagnostic omissions are not packet drops)
664677906,12118,out,4,f0e1c25e,stun|tunnel|stableKnown,113,46745,31898,0.000,-1,-1,154,-1,-1,-1,-1,-1,-1,-1,-1,0,43159309404879,43159309559340,43159309367033,43159309404879,43159309559340,0,0,0,0,send_only
664677906,12119,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,129,46745,31898,35.351,35350,33,92,-1,-1,-1,-1,-1,-1,-1,-1,43159344784033,43159344817494,43159344910187,43159344784033,43159344817494,43159344910187,0,0,0,0,sent_no_rx
1515960697,12216,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,110,31898,46745,38.182,-1,-1,-1,-1,-1,-1,-1,1752,52,306,359,0,0,0,332701280827753,332701280860368,332701286791061,1789854276314362857,43159347741571,43159347794417,43159348100956,rx_written
1515960697,12217,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,126,31898,46745,68.859,32260,-1,-1,-1,-1,-1,31765,664,32,1937,1969,0,0,0,332701316514215,332701316550753,332701319051368,1789854276346128396,43159378418725,43159378450802,43159380387956,rx_written
664677906,12120,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,71.948,36596,24,66,78,-1,-1,-1,-1,-1,-1,-1,43159381416571,43159381440879,43159381507110,43159381416571,43159381440879,43159381507110,0,0,0,0,sent_no_rx
1515960697,12218,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,117,31898,46745,106.875,35197,-1,-1,-1,-1,-1,38461,219,32,282,314,0,0,0,332701354160368,332701354190753,332701354248676,1789854276384589626,43159416434494,43159416466494,43159416749263,rx_written
664677906,12121,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,130,46745,31898,108.252,36304,25,63,-1,-1,-1,-1,-1,-1,-1,-1,43159417723033,43159417748033,43159417811648,43159417723033,43159417748033,43159417811648,0,0,0,0,sent_no_rx
664677906,12122,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,131,46745,31898,147.890,39638,36,412,306,-1,-1,-1,-1,-1,-1,-1,43159457000264,43159457036956,43159457449802,43159457000264,43159457036956,43159457449802,0,0,0,0,sent_no_rx
1515960697,12219,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,110,31898,46745,154.067,50114,-1,-1,-1,-1,-1,47144,266,31,228,260,0,0,0,332701390376291,332701390409599,332701404362753,1789854276431733626,43159463626110,43159463657802,43159463886494,rx_written
1515960697,12220,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,110,31898,46745,178.785,24538,-1,-1,-1,-1,-1,24085,899,34,289,323,0,0,0,332701428791753,332701428827061,332701428901599,1789854276455818626,43159488344264,43159488378494,43159488667648,rx_written
664677906,12123,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,108,46745,31898,203.819,55928,27,67,-1,-1,-1,-1,-1,-1,-1,-1,43159513282725,43159513310494,43159513377879,43159513282725,43159513310494,43159513377879,0,0,0,0,sent_no_rx
1515960697,12221,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,100,31898,46745,217.679,37857,-1,-1,-1,-1,-1,39548,244,44,5314,5359,0,0,0,332701466632676,332701466667676,332701466759445,1789854276495367242,43159527238417,43159527283340,43159532597802,rx_written
664677906,12124,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,224.901,21082,33,91,118,-1,-1,-1,-1,-1,-1,-1,43159534335956,43159534369571,43159534460571,43159534335956,43159534369571,43159534460571,0,0,0,0,sent_no_rx
1515960697,12222,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,100,31898,46745,253.771,36685,-1,-1,-1,-1,-1,35526,810,46,1296,1342,0,0,0,332701503340676,332701503376291,332701503444599,1789854276530894011,43159563330725,43159563376879,43159564673571,rx_written
664677906,12125,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,276.183,51281,26,2290,-1,-1,-1,-1,-1,-1,-1,-1,43159583424879,43159583451725,43159585741879,43159583424879,43159583451725,43159585741879,0,0,0,0,sent_no_rx
1515960697,12223,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,103,31898,46745,290.911,38648,-1,-1,-1,-1,-1,37737,212,32,916,948,0,0,0,332701541110753,332701541144676,332701542093291,1789854276568631780,43159600470494,43159600502802,43159601418802,rx_written
664677906,12126,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,293.556,17373,26,81,-1,-1,-1,-1,-1,-1,-1,-1,43159603006417,43159603033264,43159603115110,43159603006417,43159603033264,43159603115110,0,0,0,0,sent_no_rx
1515960697,12224,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,103,31898,46745,325.495,34053,-1,-1,-1,-1,-1,34540,255,45,746,792,0,0,0,332701575393830,332701575424599,332701576146753,1789854276603172473,43159635054187,43159635099648,43159635846494,rx_written
664677906,12127,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,341.708,48152,34,302,137,-1,-1,-1,-1,-1,-1,-1,43159650931033,43159650965494,43159651267648,43159650931033,43159650965494,43159651267648,0,0,0,0,sent_no_rx
1515960697,12225,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,103,31898,46745,372.400,37992,-1,-1,-1,-1,-1,45534,1626,65,2219,2284,0,0,0,332701613028599,332701613061907,332701614139061,1789854276648706550,43159681959648,43159682024956,43159684244264,rx_written
664677906,12128,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,393.180,51472,26,65,86,-1,-1,-1,-1,-1,-1,-1,43159702648264,43159702674417,43159702739725,43159702648264,43159702674417,43159702739725,0,0,0,0,sent_no_rx
1515960697,12226,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,103,31898,46745,408.896,35905,-1,-1,-1,-1,-1,35437,2684,49,326,375,0,0,0,332701649953599,332701649980368,332701650044676,1789854276684144473,43159718455725,43159718504956,43159718831648,rx_written
1515960697,12227,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,116,31898,46745,438.974,36924,-1,-1,-1,-1,-1,32471,291,53,321,375,0,0,0,332701686746522,332701686779984,332701686969599,1789854276716615550,43159748533494,43159748587033,43159748908879,rx_written
664677906,12129,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,439.394,46213,26,96,90,-1,-1,-1,-1,-1,-1,-1,43159748829802,43159748856264,43159748952879,43159748829802,43159748856264,43159748952879,0,0,0,0,sent_no_rx
1515960697,12228,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,113,31898,46745,477.922,40834,-1,-1,-1,-1,-1,38646,593,51,1079,1130,0,0,0,332701723704368,332701723736291,332701727803984,1789854276755261703,43159787481187,43159787532571,43159788611956,rx_written
664677906,12130,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,116,46745,31898,486.301,46907,36,91,97,-1,-1,-1,-1,-1,-1,-1,43159795732648,43159795768879,43159795860264,43159795732648,43159795768879,43159795860264,0,0,0,0,sent_no_rx
664677906,12131,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,116,46745,31898,494.915,8614,26,157,-1,-1,-1,-1,-1,-1,-1,-1,43159804289879,43159804316648,43159804474417,43159804289879,43159804316648,43159804474417,0,0,0,0,sent_no_rx
1515960697,12229,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,108,31898,46745,511.990,34717,-1,-1,-1,-1,-1,34342,318,58,368,426,0,0,0,332701762303984,332701762340676,332701762521291,1789854276789604473,43159821548956,43159821607110,43159821975110,rx_written
664677906,12132,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,537.480,42565,37,99,-1,-1,-1,-1,-1,-1,-1,-1,43159846902187,43159846939648,43159847039417,43159846902187,43159846939648,43159847039417,0,0,0,0,sent_no_rx
1515960697,12230,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,100,31898,46745,551.069,37669,-1,-1,-1,-1,-1,39110,286,86,317,404,0,0,0,332701799966138,332701800059445,332701800190753,1789854276828715242,43159860628264,43159860715110,43159861032879,rx_written
664677906,12133,out,4,f0e1c25e,stun|peerFab|tunnel|stableKnown,103,46745,31898,572.935,35454,24,281,98,-1,-1,-1,-1,-1,-1,-1,43159882187648,43159882212340,43159882493879,43159882187648,43159882212340,43159882493879,0,0,0,0,sent_no_rx
1515960697,12231,in,4,3849f406,stun|tunnel|fromPeer|inject|stableKnown,105,31898,46745,589.199,39309,-1,-1,-1,-1,-1,38157,259,216,272,488,0,0,0,332701836323753,332701836355445,332701839500599,1789854276866872473,43159898757879,43159898974110,43159899246494,rx_written
