# wifi_truth_trace version=2 packets=10923 capturedEvents=32768 overwritten=48208 localSenderId=1372080865 kernelRxTs=enabled txKernelTs=enabled gameplayStartNs=320740053449732 gameplayThresholdPps=20
# sender_id,seq,dir,ipver,flow_hash,flags,len,sport,dport,rel_ms,sender_delta_us,tx_tun_to_classify_us,tx_classify_to_send_us,tx_user_to_sched_us,tx_user_to_soft_us,tx_sched_to_soft_us,rx_kernel_delta_us,rx_kernel_to_user_us,rx_user_to_enqueue_us,rx_enqueue_to_write_us,rx_user_to_tun_write_us,tun_read_ns,classified_ns,send_call_ns,sender_t0_ns,sender_s1_ns,sender_send_attempt_ns,rx_kernel_rt_ns,rx_user_ns,enqueue_ns,tun_write_ns,status
# liveSnapshot=true snapshotSkipped=0 diagnosticWritesSkipped=15107 (diagnostic omissions are not packet drops)
1372080865,8136,out,4,7bf4e7f2,stun|peerFab|tunnel|stableKnown,96,28323,32856,0.000,-1,32,83,-1,-1,-1,-1,-1,-1,-1,-1,320740053334040,320740053366425,320740053449732,320740053334040,320740053366425,320740053449732,0,0,0,0,sent_no_rx
1784906404,7936,in,4,9c4a2b2a,stun|tunnel|fromPeer|inject|stableKnown,91,32856,28323,31.706,-1,-1,-1,-1,-1,-1,-1,172,62,397,459,0,0,0,29479971062294,29479971140140,29479971293987,1789840595039209345,320740085155348,320740085218040,320740085615040,rx_written
1372080865,8137,out,4,7bf4e7f2,stun|peerFab|tunnel|stableKnown,91,28323,32856,36.708,36708,40,228,-1,-1,-1,-1,-1,-1,-1,-1,320740089888502,320740089929117,320740090157732,320740089888502,320740089929117,320740090157732,0,0,0,0,sent_no_rx
1784906404,7937,in,4,9c4a2b2a,stun|tunnel|fromPeer|inject|stableKnown,96,32856,28323,63.776,32161,-1,-1,-1,-1,-1,32058,184,50,251,301,0,0,0,29480003283525,29480003338217,29480003455756,1789840595071268038,320740117226117,320740117276886,320740117527963,rx_written
1372080865,8138,out,4,7bf4e7f2,stun|peerFab|tunnel|stableKnown,91,28323,32856,75.119,38411,45,693,-1,-1,-1,-1,-1,-1,-1,-1,320740127830348,320740127875886,320740128568886,320740127830348,320740127875886,320740128568886,0,0,0,0,sent_no_rx
1784906404,7938,in,4,9c4a2b2a,stun|tunnel|fromPeer|inject|stableKnown,91,32856,28323,101.667,37739,-1,-1,-1,-1,-1,37906,168,67,320,388,0,0,0,29480041041987,29480041083833,29480041195217,1789840595109174191,320740155116809,320740155184502,320740155505425,rx_written
1372080865,8139,out,4,7bf4e7f2,stun|peerFab|tunnel|stableKnown,91,28323,32856,110.333,35214,34,78,-1,-1,-1,-1,-1,-1,-1,-1,320740163670348,320740163704809,320740163783040,320740163670348,320740163704809,320740163783040,0,0,0,0,sent_no_rx
1784906404,7939,in,4,9c4a2b2a,stun|tunnel|fromPeer|inject|stableKnown,91,32856,28323,141.858,39172,-1,-1,-1,-1,-1,40049,309,54,329,383,0,0,0,29480080161602,29480080218217,29480080367448,1789840595149223807,320740195307348,320740195362040,320740195691271,rx_written
1372080865,8140,out,4,7bf4e7f2,stun|peerFab|tunnel|stableKnown,91,28323,32856,148.698,38364,45,195,151,-1,-1,-1,-1,-1,-1,-1,320740201907348,320740201952809,320740202147886,320740201907348,320740201952809,320740202147886,0,0,0,0,sent_no_rx
1784906404,7940,in,4,9c4a2b2a,stun|tunnel|fromPeer|inject|stableKnown,91,32856,28323,173.407,32600,-1,-1,-1,-1,-1,31515,343,43,239,282,0,0,0,29480112825679,29480112862910,29480112967756,1789840595180738807,320740226856578,320740226899886,320740227138963,rx_written
